question_E,query,question_VN
"List the distinct names of the instructors, ordered by name.",SELECT DISTINCT name FROM  instructor ORDER BY name,"Liệt kê các tên riêng biệt của người hướng dẫn, được đặt hàng theo tên."
Find courses that ran in Fall 2009 or in Spring 2010.,SELECT course_id FROM SECTION WHERE semester  =  'Fall' AND YEAR  =  2009 UNION SELECT course_id FROM SECTION WHERE semester  =  'Spring' AND YEAR  =  2010,Tìm các khóa học diễn ra vào mùa thu năm 2009 hoặc vào mùa xuân năm 2010.
What are the ids for courses in the Fall of 2009 or the Spring of 2010?,SELECT course_id FROM SECTION WHERE semester  =  'Fall' AND YEAR  =  2009 UNION SELECT course_id FROM SECTION WHERE semester  =  'Spring' AND YEAR  =  2010,ID ID cho các khóa học vào mùa thu năm 2009 hoặc mùa xuân năm 2010 là gì?
Find courses that ran in Fall 2009 and in Spring 2010.,SELECT course_id FROM SECTION WHERE semester  =  'Fall' AND YEAR  =  2009 INTERSECT SELECT course_id FROM SECTION WHERE semester  =  'Spring' AND YEAR  =  2010,Tìm các khóa học diễn ra vào mùa thu năm 2009 và vào mùa xuân năm 2010.
What are the ids for courses that were offered in both Fall of 2009 and Spring of 2010?,SELECT course_id FROM SECTION WHERE semester  =  'Fall' AND YEAR  =  2009 INTERSECT SELECT course_id FROM SECTION WHERE semester  =  'Spring' AND YEAR  =  2010,ID ID cho các khóa học được cung cấp trong cả mùa thu năm 2009 và mùa xuân năm 2010 là gì?
Find courses that ran in Fall 2009 but not in Spring 2010.,SELECT course_id FROM SECTION WHERE semester  =  'Fall' AND YEAR  =  2009 EXCEPT SELECT course_id FROM SECTION WHERE semester  =  'Spring' AND YEAR  =  2010,Tìm các khóa học diễn ra vào mùa thu năm 2009 nhưng không phải vào mùa xuân năm 2010.
What are the ids of courses offered in Fall of 2009 but not in Spring of 2010?,SELECT course_id FROM SECTION WHERE semester  =  'Fall' AND YEAR  =  2009 EXCEPT SELECT course_id FROM SECTION WHERE semester  =  'Spring' AND YEAR  =  2010,ID của các khóa học được cung cấp vào mùa thu năm 2009 nhưng không phải vào mùa xuân năm 2010?
Find the salaries of all distinct instructors that are less than the largest salary.,SELECT DISTINCT salary FROM instructor WHERE salary  <  (SELECT max(salary) FROM instructor),Tìm mức lương của tất cả các giảng viên riêng biệt ít hơn mức lương lớn nhất.
What are the distinct salaries of all instructors who earned less than the maximum salary?,SELECT DISTINCT salary FROM instructor WHERE salary  <  (SELECT max(salary) FROM instructor),Mức lương riêng biệt của tất cả các giảng viên kiếm được ít hơn mức lương tối đa là gì?
Find the total number of instructors who teach a course in the Spring 2010 semester.,SELECT COUNT (DISTINCT ID) FROM teaches WHERE semester  =  'Spring' AND YEAR  =  2010,Tìm tổng số người hướng dẫn dạy một khóa học trong học kỳ mùa xuân 2010.
How many instructors teach a course in the Spring of 2010?,SELECT COUNT (DISTINCT ID) FROM teaches WHERE semester  =  'Spring' AND YEAR  =  2010,Có bao nhiêu người hướng dẫn dạy một khóa học vào mùa xuân năm 2010?
Find the names and average salaries of all departments whose average salary is greater than 42000.,"SELECT dept_name ,  AVG (salary) FROM instructor GROUP BY dept_name HAVING AVG (salary)  >  42000",Tìm tên và mức lương trung bình của tất cả các bộ phận có mức lương trung bình lớn hơn 42000.
What are the names and average salaries for departments with average salary higher than 42000?,"SELECT dept_name ,  AVG (salary) FROM instructor GROUP BY dept_name HAVING AVG (salary)  >  42000",Tên và mức lương trung bình cho các phòng ban có mức lương trung bình cao hơn 42000 là gì?
Find names of instructors with salary greater than that of some (at least one) instructor in the Biology department.,SELECT name FROM instructor WHERE salary  >  (SELECT min(salary) FROM instructor WHERE dept_name  =  'Biology'),Tìm tên của người hướng dẫn với mức lương lớn hơn một số (ít nhất một) người hướng dẫn trong khoa sinh học.
What are the names of instructors who earn more than at least one instructor from the Biology department?,SELECT name FROM instructor WHERE salary  >  (SELECT min(salary) FROM instructor WHERE dept_name  =  'Biology'),Tên của các giảng viên kiếm được nhiều hơn ít nhất một người hướng dẫn từ khoa sinh học là gì?
Find the names of all instructors whose salary is greater than the salary of all instructors in the Biology department.,SELECT name FROM instructor WHERE salary  >  (SELECT max(salary) FROM instructor WHERE dept_name  =  'Biology'),Tìm tên của tất cả các giảng viên có mức lương lớn hơn mức lương của tất cả các giảng viên trong Khoa Sinh học.
What are the names of all instructors with a higher salary than any of the instructors in the Biology department?,SELECT name FROM instructor WHERE salary  >  (SELECT max(salary) FROM instructor WHERE dept_name  =  'Biology'),Tên của tất cả các giảng viên có mức lương cao hơn bất kỳ người hướng dẫn nào trong khoa sinh học là gì?
How many debates are there?,SELECT count(*) FROM debate,Có bao nhiêu cuộc tranh luận?
List the venues of debates in ascending order of the number of audience.,SELECT Venue FROM debate ORDER BY Num_of_Audience ASC,Liệt kê các địa điểm của các cuộc tranh luận theo thứ tự tăng dần của số lượng khán giả.
What are the date and venue of each debate?,"SELECT Date ,  Venue FROM debate",Ngày và địa điểm của mỗi cuộc tranh luận là gì?
List the dates of debates with number of audience bigger than 150,SELECT Date FROM debate WHERE Num_of_Audience  >  150,Liệt kê các ngày tranh luận với số lượng khán giả lớn hơn 150
Show the names of people aged either 35 or 36.,SELECT Name FROM  people WHERE Age  =  35 OR Age  =  36,Hiển thị tên của những người ở độ tuổi 35 hoặc 36.
What is the party of the youngest people?,SELECT Party FROM people ORDER BY Age ASC LIMIT 1,Bữa tiệc của những người trẻ nhất là gì?
Show different parties of people along with the number of people in each party.,"SELECT Party ,  COUNT(*) FROM people GROUP BY Party",Hiển thị các bên khác nhau của mọi người cùng với số người trong mỗi bên.
Show the party that has the most people.,SELECT Party FROM people GROUP BY Party ORDER BY COUNT(*) DESC LIMIT 1,Hiển thị bữa tiệc có nhiều người nhất.
Show the distinct venues of debates,SELECT DISTINCT Venue FROM debate,Hiển thị các địa điểm khác biệt của các cuộc tranh luận
"Show the names of people, and dates and venues of debates they are on the affirmative side.","SELECT T3.Name ,  T2.Date ,  T2.Venue FROM debate_people AS T1 JOIN debate AS T2 ON T1.Debate_ID  =  T2.Debate_ID JOIN people AS T3 ON T1.Affirmative  =  T3.People_ID","Hiển thị tên của con người, ngày và địa điểm của các cuộc tranh luận mà họ đang ở phía khẳng định."
"Show the names of people, and dates and venues of debates they are on the negative side, ordered in ascending alphabetical order of name.","SELECT T3.Name ,  T2.Date ,  T2.Venue FROM debate_people AS T1 JOIN debate AS T2 ON T1.Debate_ID  =  T2.Debate_ID JOIN people AS T3 ON T1.Negative  =  T3.People_ID ORDER BY T3.Name ASC","Hiển thị tên của con người, ngày và địa điểm của các cuộc tranh luận mà họ đang ở phía tiêu cực, được đặt hàng theo thứ tự chữ cái của tên."
Show the names of people that are on affirmative side of debates with number of audience bigger than 200.,SELECT T3.Name FROM debate_people AS T1 JOIN debate AS T2 ON T1.Debate_ID  =  T2.Debate_ID JOIN people AS T3 ON T1.Affirmative  =  T3.People_ID WHERE T2.Num_of_Audience  >  200,Hiển thị tên của những người đứng về khía cạnh khẳng định của các cuộc tranh luận với số lượng khán giả lớn hơn 200.
Show the names of people and the number of times they have been on the affirmative side of debates.,"SELECT T2.Name ,  COUNT(*) FROM debate_people AS T1 JOIN people AS T2 ON T1.Affirmative  =  T2.People_ID GROUP BY T2.Name",Hiển thị tên của mọi người và số lần họ đã ở khía cạnh khẳng định của các cuộc tranh luận.
Show the names of people who have been on the negative side of debates at least twice.,SELECT T2.Name FROM debate_people AS T1 JOIN people AS T2 ON T1.Negative  =  T2.People_ID GROUP BY T2.Name HAVING COUNT(*)  >=  2,Hiển thị tên của những người đã ở khía cạnh tiêu cực của các cuộc tranh luận ít nhất hai lần.
List the names of people that have not been on the affirmative side of debates.,SELECT Name FROM people WHERE People_id NOT IN (SELECT Affirmative FROM debate_people),Liệt kê tên của những người chưa từng ở khía cạnh khẳng định của các cuộc tranh luận.
List the names of all the customers in alphabetical order.,SELECT customer_details FROM customers ORDER BY customer_details,Liệt kê tên của tất cả các khách hàng theo thứ tự bảng chữ cái.
Sort the customer names in alphabetical order.,SELECT customer_details FROM customers ORDER BY customer_details,Sắp xếp tên khách hàng theo thứ tự bảng chữ cái.
"Find all the policy type codes associated with the customer ""Dayana Robel""","SELECT policy_type_code FROM policies AS t1 JOIN customers AS t2 ON t1.customer_id  =  t2.customer_id WHERE t2.customer_details  =  ""Dayana Robel""","Tìm tất cả các mã loại chính sách được liên kết với khách hàng ""Dayana Robel"""
"What are the type codes of the policies used by the customer ""Dayana Robel""?","SELECT policy_type_code FROM policies AS t1 JOIN customers AS t2 ON t1.customer_id  =  t2.customer_id WHERE t2.customer_details  =  ""Dayana Robel""","Các mã loại của các chính sách được sử dụng bởi khách hàng ""Dayana Robel"" là gì?"
Which type of policy is most frequently used? Give me the policy type code.,SELECT policy_type_code FROM policies GROUP BY policy_type_code ORDER BY count(*) DESC LIMIT 1,Loại chính sách nào được sử dụng thường xuyên nhất? Cho tôi mã loại chính sách.
Find the type code of the most frequently used policy.,SELECT policy_type_code FROM policies GROUP BY policy_type_code ORDER BY count(*) DESC LIMIT 1,Tìm loại mã của chính sách được sử dụng thường xuyên nhất.
Find all the policy types that are used by more than 2 customers.,SELECT policy_type_code FROM policies GROUP BY policy_type_code HAVING count(*)  >  2,Tìm tất cả các loại chính sách được sử dụng bởi hơn 2 khách hàng.
Which types of policy are chosen by more than 2 customers? Give me the policy type codes.,SELECT policy_type_code FROM policies GROUP BY policy_type_code HAVING count(*)  >  2,Những loại chính sách nào được chọn bởi hơn 2 khách hàng? Cho tôi mã loại chính sách.
Find the total and average amount paid in claim headers.,"SELECT sum(amount_piad) ,  avg(amount_piad) FROM claim_headers",Tìm tổng số tiền và số tiền trung bình được trả trong các tiêu đề yêu cầu bồi thường.
What are the total amount and average amount paid in claim headers?,"SELECT sum(amount_piad) ,  avg(amount_piad) FROM claim_headers",Tổng số tiền và số tiền trung bình được trả trong các tiêu đề yêu cầu bồi thường là bao nhiêu?
Find the total amount claimed in the most recently created document.,SELECT sum(t1.amount_claimed) FROM claim_headers AS t1 JOIN claims_documents AS t2 ON t1.claim_header_id  =  t2.claim_id WHERE t2.created_date  =  (SELECT created_date FROM claims_documents ORDER BY created_date LIMIT 1),Tìm tổng số tiền được yêu cầu trong tài liệu được tạo gần đây nhất.
